ticker,company,date,article_count,negative_article_count,neg_earnings_guidance,neg_demand_growth,neg_legal_regulatory,neg_product_technology,neg_strategy_management,neg_competition_pressure,neg_other,total_classified_negative_categories
AMZN,Amazon,2024-05-31,3,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-02,3,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-03,2,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-04,6,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-05,6,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-06,3,1,0,0,1,0,0,0,0,1
AMZN,Amazon,2024-06-07,1,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-10,2,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-11,6,1,0,0,0,0,0,0,1,1
AMZN,Amazon,2024-06-12,4,1,1,0,1,0,0,0,0,2
AMZN,Amazon,2024-06-13,2,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-14,4,1,0,0,1,0,1,0,0,2
AMZN,Amazon,2024-06-17,2,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-18,4,1,1,1,1,0,0,0,0,3
AMZN,Amazon,2024-06-19,4,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-20,1,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-21,2,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-24,2,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-25,2,1,0,0,1,0,0,0,0,1
AMZN,Amazon,2024-06-26,5,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-27,8,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-28,3,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-06-30,1,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-01,3,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-02,4,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-03,4,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-05,2,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-06,1,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-08,2,1,0,1,1,1,0,1,0,4
AMZN,Amazon,2024-07-09,5,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-10,7,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-11,4,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-15,2,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-16,4,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-17,4,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-18,4,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-19,2,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-21,1,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-22,1,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-23,3,1,1,0,0,0,1,0,0,2
AMZN,Amazon,2024-07-24,7,1,0,0,0,0,0,0,1,1
AMZN,Amazon,2024-07-25,1,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-26,1,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-29,3,0,0,0,0,0,0,0,0,0
AMZN,Amazon,2024-07-30,5,0,0,0,0,0,0,0,0,0
