date,ticker,adj_close,close,high,low,open,volume,company,daily_return,next_day_return,log_volume
2023-08-11,META,299.0141906738281,301.6400146484375,304.7200012207031,300.3599853515625,302.57000732421875,14046300,Meta,-0.01341015863317474,0.015084357707420226,16.457869573866866
2023-08-14,META,303.5246276855469,306.19000244140625,306.2099914550781,298.25,300.9800109863281,15641900,Meta,0.015084357707420226,-0.013847823649857594,16.56546376907889
2023-08-15,META,299.32147216796875,301.95001220703125,307.2300109863281,300.0299987792969,306.1400146484375,11623600,Meta,-0.013847823649857594,-0.02536824927310566,16.26854807207788
2023-08-16,META,291.72821044921875,294.2900085449219,301.0799865722656,294.2799987792969,300.20001220703125,18547700,Meta,-0.02536824927310566,-0.03126164435866452,16.73585635011209
2023-08-17,META,282.6083068847656,285.0899963378906,296.04998779296875,284.95001220703125,293.04998779296875,23950100,Meta,-0.03126164435866452,-0.0064540728808750725,16.991483057177827
2023-08-18,META,280.7843322753906,283.25,285.69000244140625,274.3800048828125,279.0299987792969,35347900,Meta,-0.0064540728808750725,0.023477239496253688,17.38074954260166
2023-08-21,META,287.3763732910156,289.8999938964844,290.5,281.8500061035156,283.45001220703125,20181500,Meta,0.023477239496253688,-0.007933629748440807,16.820276901148137
2023-08-22,META,285.096435546875,287.6000061035156,292.8999938964844,286.75,292.54998779296875,12980200,Meta,-0.007933629748440807,0.023087462695513983,16.378935677442005
2023-08-23,META,291.6785888671875,294.239990234375,297.3999938964844,287.6700134277344,288.5,18287000,Meta,0.023087462695513983,-0.025455537322483845,16.72170098285677
2023-08-24,META,284.2537536621094,286.75,299.4599914550781,286.6400146484375,298.5,18360900,Meta,-0.025455537322483845,-0.004359044308361648,16.72573396156304
2023-08-25,META,283.0146789550781,285.5,288.3900146484375,276.0299987792969,286.1300048828125,23701400,Meta,-0.004359044308361648,0.016672516464349973,16.98104467609065
2023-08-28,META,287.7332458496094,290.260009765625,291.45001220703125,285.79998779296875,288.0,14239300,Meta,0.016672516464349973,0.02663133244799809,16.471516305436474
2023-08-29,META,295.3959655761719,297.989990234375,299.1499938964844,288.17999267578125,288.5799865722656,20844500,Meta,0.02663133244799809,-0.009698399768170662,16.852600682441828
2023-08-30,META,292.5310974121094,295.1000061035156,298.2900085449219,293.42999267578125,297.1700134277344,17717000,Meta,-0.009698399768170662,0.00267722855569974,16.690035188582574
2023-08-31,META,293.31427001953125,295.8900146484375,301.1000061035156,295.6600036621094,295.79998779296875,17229900,Meta,0.00267722855569974,0.0016559636645199216,16.662156804656743
2023-09-01,META,293.79998779296875,296.3800048828125,301.739990234375,294.4700012207031,299.3699951171875,12842300,Meta,0.0016559636645199216,0.012720055326356228,16.36825496791049
2023-09-05,META,297.5371398925781,300.1499938964844,301.3900146484375,295.510009765625,297.0199890136719,14956000,Meta,0.012720055326356228,-0.003264921976549595,16.520623115079143
2023-09-06,META,296.5657043457031,299.1700134277344,303.29998779296875,295.6600036621094,301.7099914550781,15418100,Meta,-0.003264921976549595,-0.0016711489612173391,16.551052701905853
2023-09-07,META,296.0700988769531,298.6700134277344,307.04998779296875,292.2200012207031,298.0,33748700,Meta,-0.0016711489612173391,-0.0026116243412830364,17.334452456022436
2023-09-08,META,295.296875,297.8900146484375,305.25,296.7799987792969,299.2200012207031,17548000,Meta,-0.0026116243412830364,0.032461518301232895,16.680450541268243
2023-09-11,META,304.8826599121094,307.55999755859375,309.0400085449219,301.2799987792969,301.4100036621094,19489300,Meta,0.032461518301232895,-0.019183225488081268,16.78537615498447
2023-09-12,META,299.0340270996094,301.6600036621094,308.6600036621094,300.2300109863281,306.3299865722656,13480400,Meta,-0.019183225488081268,0.011270930864936135,16.416747336598686
2023-09-13,META,302.4044189453125,305.05999755859375,307.17999267578125,301.32000732421875,302.3599853515625,13210900,Meta,0.011270930864936135,0.021831657649446168,16.396552804382143
